HYPERLEDA,LEDA,LEDA,LEDA,LEDA,LEDA,"All CF4 TRGB","All CF4 TRGB","All CF4 TRGB","All CF4 TRGB","All CF4 TRGB","All CF4 TRGB","All CF4 TRGB","All CF4 TRGB"
pgc,v,e_v,objname,RA2000,DEC2000,1PGC,D,DMop,eDMop,DMir,eDMir,RAJ,DeJ
%7s,%8.0f,%8.0f,%30s,%12s,%12s,%7d,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%8.4f,%8.4f
---,km/s,km/s,"\N",h,deg,,Mpc,mag,mag,mag,mag,deg,deg
"The Catalogue of Principal Galaxies (PGC) Number","Mean Heliocentric radial velocity (cz)","Actual error on v","Principal name","Right Ascension (J2000)","Declination (J2000)","PGC identification of brightest member of group","TRGB distance; average of F814W and IR (F110W+F160W) if both available; Revised 0.977 or -0.05 in modulus from Rizzi (2007)","Distance modulus measure at F814W","Uncertainty in F814W distance modulus","Distance modulus measure averaged over F110W and F160W","Uncertainty in F110W+F160W distance modulus","Right Ascension (J2000)","Declination (J2000)"
42407,1087,5,NGC4594,123959.4,-113722.8,42407,9.12,29.80,0.08,,,189.9976,-11.6230
62836,852,16,NGC6744,190945.9,-635127.7,62836,9.15,29.81,0.10,,,287.4413,-63.8577
4078671,621,41,6dFJ0956376-092911,095637.6,-092910.6,4078671,9.19,29.81,0.11,,,149.1567,-9.4863
32292,563,6,NGC3384,104816.9,+123745.8,32256,9.21,29.82,0.02,,,162.0705,12.6294
41395,1105,4,PGC041395,123103.6,+014033.0,41395,9.21,29.82,0.14,,,187.7652,1.6758
67045,851,4,NGC7090,213628.9,-543327.4,67045,9.29,29.84,0.06,,,324.1205,-54.5576
2806961,318,6,PGC2806961,090853.7,+143458.3,2806961,9.37,29.86,0.11,,,137.2236,14.5829
5060076,351,8,AGC174605,075021.7,+074740.0,5060076,9.38,29.86,0.04,,,117.5904,7.7944
166107,0,0,PGC166107,105027.1,+122135.1,32256,9.39,29.86,0.11,,,162.6129,12.3597
43072,1136,2,PGC043072,124615.3,+101219.9,43072,9.41,29.87,0.22,,,191.5638,10.2055
83339,832,4,PGC083339,104656.9,+125957.3,32256,9.42,29.87,0.13,,,161.7369,12.9992
62869,776,8,ESO104-044,191123.1,-641308.4,62836,9.49,29.89,0.18,,,287.8461,-64.2190
3097708,1105,5,PGC3097708,123735.9,-085201.5,3097708,9.53,29.90,0.10,,,189.3995,-8.8671
42120,756,8,PGC042120,123714.1,-102952.3,42407,9.59,29.91,0.07,,,189.3085,-10.4979
4689210,640,5,PGC4689210,104653.2,+124440.0,32256,9.61,29.91,0.23,,,161.7216,12.7444
29033,446,3,PGC029033,100138.2,-081454.7,29033,9.71,29.94,0.26,,,150.4092,-8.2485
32007,778,2,NGC3351,104357.7,+114212.8,32256,9.73,29.94,0.03,,,160.9904,11.7035
83321,0,0,PGC083321,104234.6,+120903.3,32256,9.78,29.95,0.13,,,160.6440,12.1509
83333,0,0,PGC083333,104625.0,+140129.6,9332,9.85,29.97,0.22,,,161.6040,14.0249
5057800,779,8,AGC205315,104952.7,+123213.0,32256,9.98,30.00,0.11,,,162.4683,12.5392
83329,0,0,PGC083329,104614.2,+125737.4,32256,10.04,30.01,0.16,,,161.5591,12.9604
31693,707,2,UGC05797,103925.2,+014306.7,31693,10.20,30.04,0.22,,,159.8550,1.7185
32249,684,11,NGC3377,104742.4,+135908.3,32256,10.20,30.04,0.02,,,161.9265,13.9856
29428,542,3,UGC05456,100719.8,+102143.1,29428,10.27,30.06,0.22,,,151.8324,10.3620
37727,1114,4,ESO572-034,115858.1,-190147.6,37727,10.27,30.06,0.08,,,179.7420,-19.0299
5809449,1348,4,AGC229385,123210.3,+202524.0,5809449,10.59,30.13,0.20,,,188.0429,20.4233
32192,892,2,NGC3368,104645.7,+114911.3,32256,10.93,30.19,0.09,,,161.6904,11.8198
34695,721,2,NGC3627,112015.0,+125927.6,34695,11.04,30.21,0.10,,,170.0625,12.9910
32256,908,6,NGC3379,104749.6,+123453.8,32256,11.08,30.22,0.02,,,161.9566,12.5816
28378,554,12,UGC05288,095117.0,+074942.0,28378,11.27,30.26,0.13,,,147.8208,7.8283
40563,1505,2,UGC07512,122541.1,+020933.7,3293383,11.57,30.32,0.08,,,186.4212,2.1593
26259,887,2,NGC2835,091752.9,-222116.5,25950,11.85,30.37,0.17,,,139.4703,-22.3546
49923,1219,3,NGC5398,140121.6,-330349.2,49923,12.14,30.42,0.20,,,210.3400,-33.0637
51969,1189,14,NGC5643,143240.7,-441028.1,51969,12.15,30.42,0.11,,,218.1696,-44.1745
40209,479,10,NGC4328,122320.0,+154913.7,41220,14.50,30.81,0.24,,,185.8333,15.8205
39950,1129,5,NGC4298,122132.8,+143622.0,41220,14.54,30.81,0.20,,,185.3867,14.6061
40705,95,4,NGC4413,122632.2,+123638.1,41220,14.69,30.84,0.04,,,186.6342,12.6106
