,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,RA_radians,Dec_radians,cos_theta_CoM_CenA_M83_0.76,angular_distance_CoM_CenA_M83_0.76,dis_center_CoM_CenA_M83_0.76,e_dis_center_min_CoM_CenA_M83_0.76,e_dis_center_max_CoM_CenA_M83_0.76,major_infall_velocity_CoM_CenA_M83_0.76,e_major_infall_velocity_min_CoM_CenA_M83_0.76,e_major_infall_velocity_max_CoM_CenA_M83_0.76,minor_infall_velocity_CoM_CenA_M83_0.76,e_minor_infall_velocity_min_CoM_CenA_M83_0.76,e_minor_infall_velocity_max_CoM_CenA_M83_0.76
58,NGC3384,PGC32292,162.0705,12.6294,9.204495717531715,0.0843873239726136,0.0851681502676466,CF4,563.0,6.0,LEDA,,,2.82866384535347,0.0038471352414542574,0.7644034146160821,0.7006808186943909,6.691442263993725,0.10493303758971262,0.1065472389901645,-246.7441859547687,51.01444862427353,51.30461436733955,269.2585544696144,12.768364114015071,12.59550438710761
59,NGC3621,PGC34554,169.5687,-32.814,6.8233869414167,0.2770252007439451,0.2887481951165949,CF4,728.0,3.0,LEDA,,,2.959532123326509,-0.009995716012881057,0.8421081405884505,0.5696159836897965,4.097238243660588,0.2577945758596041,0.27741375902751386,156.2398032963662,102.34486043863113,107.25901553467115,382.8334128881142,12.07543929815779,10.847063017193022
60,NGC3627,PGC34695,170.0625,12.991,11.015393095414156,0.4957743571819328,0.5191394827967795,CF4,721.0,2.0,LEDA,,,2.9681505591728565,0.003957284900449131,0.84659354674041,0.5612442127507288,7.957946662992585,0.5163004151850252,0.5425353533676187,97.66171356253078,38.76627545664341,39.926324282544314,327.3694403114741,12.076660571194452,12.093150192025746
61,ESO320-014,PGC36014,174.4716,-39.2206,5.861381645140288,0.1069822717687163,0.1089712206980788,CF4,654.0,4.0,LEDA,,,3.0451038712225387,-0.011947277974486581,0.8851216316212575,0.48404100951116164,2.9977542325667077,0.10673221611520978,0.11294458059157719,83.19887615155633,60.04685309715455,61.45690764654906,291.2405160270749,10.777316366773334,9.775595863923115
62,ESO379-007,PGC37369,178.6798,-33.5588,5.321082592667939,0.1687961468503775,0.1743261459083047,CF4,642.0,3.0,LEDA,,,3.118550816804964,-0.010222595067138195,0.9168785974233888,0.41060725200005066,2.320410171257876,0.14133762344932732,0.15779020785720022,109.97138865794463,115.3122035919185,123.31838878850412,252.4022303576532,11.065134394196008,8.806052251377196
63,ESO572-034,PGC37727,179.742,-19.0299,10.28016298126473,0.3718435323370528,0.3857982310378318,CF4,1114.0,4.0,LEDA,,,3.1370897041196475,-0.005796839036799086,0.9241001087274108,0.39212228664149357,6.804148007253489,0.4100026170248663,0.4253443648520667,594.1278899006386,144.11778729318831,148.78052687780922,641.8649293735866,11.791763543444517,11.519402340015972
64,ESO379-024,PGC38252,181.2362,-35.7431,5.345643593969718,0.2405935942156567,0.2519324209813893,CF4,632.0,6.0,LEDA,,,3.163168413802947,-0.010887970897178302,0.9337702568326388,0.3659890690031099,2.180891495675546,0.2009604465881223,0.2299382979088178,95.36155098032404,129.31550833251228,141.12836464997957,220.38369268140238,16.370338189058685,13.219864138062974
65,ESO321-014,PGC39032,183.4571,-38.231,3.2508729738543423,0.1463133857259904,0.1532089231556668,CF4,611.0,3.0,LEDA,,,3.201930431160489,-0.011645828575865658,0.9469373286530984,0.327226837388686,1.3571746323408767,0.07832965573940642,0.10153563426219692,-53.626835890814846,54.43938264633619,62.30300197104304,129.358506872037,27.284786296801286,25.774527416279
66,IC3104,PGC39573,184.692,-79.7259,2.301441817408507,0.0210997454080899,0.0212949789485978,CF4,429.0,4.0,LEDA,,,3.223483502093367,-0.02428589794817315,0.9535783093292275,0.30589333587326484,1.8821208471487125,0.07099976334547309,0.07186852974576197,145.49459065764893,38.62449233889572,38.90799509591551,173.33876925324864,12.005813336707178,11.838076059931808
67,HIPASSJ1247-77,PGC3994669,191.8908,-77.5826,3.388441561392023,0.2551558370764417,0.2759341850863102,CF4,413.0,4.0,LEDA,,,3.349126264285935,-0.023633011432344298,0.9837713622800962,0.18040356680285077,0.8619637926383317,0.14710454660596783,0.21739974294825548,194.7584048664607,511.653509684549,707.4772893336672,150.13338843817928,31.84262782076462,16.19930163776317
