,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,e_V_LG,RA_radians,Dec_radians,cos_theta_CoM_NGC5128_CenA_NGC5236_M83_0.7,angular_distance_CoM_NGC5128_CenA_NGC5236_M83_0.7,dis_center_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_dis_center_min_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_dis_center_max_CoM_NGC5128_CenA_NGC5236_M83_0.7,major_infall_velocity_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_major_infall_velocity_min_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_major_infall_velocity_max_CoM_NGC5128_CenA_NGC5236_M83_0.7,minor_infall_velocity_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_minor_infall_velocity_min_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_minor_infall_velocity_max_CoM_NGC5128_CenA_NGC5236_M83_0.7
15,NGC2835,PGC26259,139.4703,-22.3546,11.857687481671608,0.8929055202397631,0.9656183448886236,CF4,602.0549205496354,2.0,LEDA,,,2.0,2.4342159437442477,-0.006809600572363956,0.45488337652776584,1.0985550735780478,10.657727584176607,0.635171918604902,0.635171918604902,-214.23270395648242,60.23808482371396,60.23808482371396,527.3221467579343,438.5840261744654,438.5840261744654
16,NGC2915,PGC26761,141.5493,-76.6264,4.187935651179182,0.0574606312775713,0.0582599882839476,CF4,188.9964952055664,3.0,LEDA,,,3.0,2.470501338893209,-0.023341736255544247,0.48695995831950006,1.0621905658448823,4.128163727614046,0.04588865405372201,0.04588865405372201,454.73984737423984,20.26159210272303,20.26159210272303,243.98129231939697,8.96540056007568,8.96540056007568
17,NGC2903,PGC27077,143.0421,21.5014,8.953647655495944,0.3635124404419798,0.3788953524739735,CF4,442.0650859129727,2.0,LEDA,,,2.0,2.496555613966981,0.006549700989801936,0.5093220027484382,1.0363995615642334,7.729191630639918,0.2460079142431027,0.2460079142431027,-988.5452994378575,302.1041551316547,302.1041551316547,373.15108282098913,112.89708593084514,112.89708593084514
18,UGC05086,PGC27115,143.2034,21.4657,8.27942163712334,0.3361392898805242,0.3503638405463611,CF4,393.8593716230236,34.0,LEDA,,,34.0,2.4993708300504474,0.00653882614791555,0.5117424321125343,1.0335846441603536,7.118839117658954,0.2282063644376372,0.2282063644376372,-2538.8945382852753,1692.6853595324078,1692.6853595324078,334.0708906739079,95.90757968633086,95.90757968633086
19,PGC2806961,PGC2806961,137.2236,14.5829,9.3756200692588,0.4631106879213451,0.4871747870533003,CF4,172.26569695583245,6.0,LEDA,,,6.0,2.3950036314396907,0.004442205371007593,0.41949904982419167,1.1379029328150463,8.510796538329146,0.33230967660996047,0.33230967660996047,98585.05356309425,1080538.7365253696,1080538.7365253696,156.91397711937688,66.97900273935781,66.97900273935781
20,PGC2807061,PGC2807061,105.1176,-4.2071,6.516283940608428,0.2645570128515695,0.2757523855634183,CF4,110.49003755469128,4.0,LEDA,,,4.0,1.8346482217943914,-0.0012815559467846617,-0.1270012872559046,1.6981415236570128,8.039320860284999,0.2622020947853737,0.2622020947853737,532.8568792184188,15.466183110305025,15.466183110305025,276.5331862610164,62.30805170843312,62.30805170843312
21,PGC2807065,PGC2807065,116.525,-28.4263,5.675446054085469,0.230419525661258,0.2401702876692688,CF4,217.6799985617667,7.0,LEDA,,,7.0,2.0337449108863925,-0.008659146160082915,0.07175949478126195,1.498975102172951,6.679582078807849,0.19086292608207658,0.19086292608207658,541.0576200664551,21.992923038092368,21.992923038092368,336.46155075097266,59.3553774096991,59.3553774096991
22,PGC2807150,PGC2807150,208.6396,4.2444,2.5468302525850426,0.2873944823640655,0.3239503294396515,CF4,206.5365849826047,3.0,LEDA,,,3.0,3.641447970043961,0.0012929181765427057,0.9940217008884957,0.10940077972952622,1.4483083893671174,0.25794324396681956,0.25794324396681956,99.37544145721004,5.905087478686046,5.905087478686046,100.04176587267975,11.473022626147866,11.473022626147866
23,KKs54,PGC2815821,200.3829,-31.8864,3.75,0.1,0.1,-10,393.991542422248,11.0,-7,stars,Tr,11.0,3.4973413696945457,-0.009713152894286904,0.9993691180962131,0.03552318257922638,0.24474471209559387,1.4335991686017533,1.4335991686017533,-108.3641942681535,24.65350978345587,24.65350978345587,-68.66012948557884,40.43259491362228,40.43259491362228
24,KKs55,PGC2815822,200.55,-42.7311,3.85,0.07,0.07,-1,282.3448050687075,14.0,-7,stars,Sph,14.0,3.500257814874628,-0.013016637426647822,0.9994692577774101,0.032581871558278054,0.16357593415005,1.5782957558482684,1.5782957558482684,32.140752744977924,29.549382183917324,29.549382183917324,20.298297648616096,14.640019625281267,14.640019625281267
