,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,e_V_LG,RA_radians,Dec_radians,cos_theta_CoM_CenA_M83_0.76,angular_distance_CoM_CenA_M83_0.76,dis_center_CoM_CenA_M83_0.76,e_dis_center_min_CoM_CenA_M83_0.76,e_dis_center_max_CoM_CenA_M83_0.76,major_infall_velocity_CoM_CenA_M83_0.76,e_major_infall_velocity_min_CoM_CenA_M83_0.76,e_major_infall_velocity_max_CoM_CenA_M83_0.76,minor_infall_velocity_CoM_CenA_M83_0.76,e_minor_infall_velocity_min_CoM_CenA_M83_0.76,e_minor_infall_velocity_max_CoM_CenA_M83_0.76
97,NGC5237,PGC048139,204.4083,-42.8475,3.33,0.02,0.02,-1,122.00983783484256,4.0,-4,HI,BCD,4.0,3.567597853404325,-0.013052094894310995,0.9992709107401012,0.03818842422303702,0.5685982328919089,0.0879220937244331,0.09001408160232338,186.19881347212302,414.33575702625325,423.69007460767165,177.93129845538184,10.42042006905595,9.914778896276829
98,NGC5253,PGC048334,204.9792,-31.64,3.55,0.03,0.03,-3,192.8282666470973,3.0,-4,HI,Sdm,3.0,3.5775619381039605,-0.00963809516205146,0.9988390818395828,0.04819009964319151,0.37692162289234804,0.08538405910443009,0.09279910650186468,124.33417005929374,669.1638066189422,723.739456291959,102.95529241367848,14.518013861945121,11.170117302837298
99,IC4316,PGC48368,205.0761,-28.8942,4.24619563946313,0.0775018047597724,0.0789426708869562,CF4,371.1400987060895,3.0,LEDA,,,3.0,3.579253162149143,-0.008801676650801116,0.9987540115636588,0.04992488898759849,0.4169861722833341,0.12171516328942267,0.1357435165514136,78.10969883129086,557.2539361089707,617.2877860675446,67.35051260698877,12.369953536521841,9.269711487886767
100,NGC5264,PGC48467,205.4031,-29.9127,4.677351412871984,0.1483756138357739,0.1532366075257467,CF4,269.38290371162884,2.0,LEDA,,,2.0,3.5849603888031645,-0.009111929492853877,0.9984544310271615,0.055605166443151,0.8301003882630691,0.20881466813092364,0.21711372731496814,-36.262885381503935,116.43891495140531,120.65560434914673,-28.018333254440844,8.261785866638409,9.076312328296321
101,KK211,PGC048515,205.5208,-45.205,3.68,0.14,0.14,-1,359.7712151411396,31.0,-14,stars,Sph,31.0,3.5870146413327624,-0.013770230461458161,0.9983406368625167,0.05761635627140603,0.2968513372260998,0.07686134504142181,0.16985650892508786,-79.63705847911888,881.5335383982929,1788.8032936044356,-24.264841259280466,48.44848703525141,47.91494010899365
102,ESO325-011,PGC48738,206.2542,-41.8597,3.3265955329400443,0.0607172112166862,0.0618460284519786,CF4,313.136387131782,3.0,LEDA,,,3.0,3.5998148860668886,-0.012751193807045683,0.9975235600010254,0.07039123241359961,0.6100661227501807,0.11769200550008058,0.12302012458718625,-9.696926642204412,34.86620050723808,35.99054159679637,0.17582912976945078,9.341497839723944,9.574495853027011
103,ESO215-009,PGC490287,164.375,-48.1839,5.345643593969718,0.073344979741492,0.0743653100465246,CF4,288.7753994138102,2.0,LEDA,,,2.0,2.868884957965679,-0.014677655293260788,0.7896959308286281,0.6604831191404928,3.2970861095603596,0.05575829654903952,0.06102864383674822,-731.5311663588524,636.7708933294698,669.2408343252271,168.45716823431476,5.702760535488949,5.115775220431999
104,ESO383-087,PGC049050,207.325,-36.0614,3.19,0.03,0.03,-1,107.69664987897346,2.0,-4,HI,Sdm,2.0,3.6185038716972437,-0.010984930621896411,0.9960350200895349,0.08907977168811064,0.7594389558687442,0.09124849972060578,0.09464271900738808,211.45426548014012,292.4295554085754,302.29573811515496,185.50735177958111,10.479049422884316,9.43463528932503
105,ESO384-016,PGC49615,209.2559,-35.3329,4.385306977749858,0.0601686673997718,0.0610056969412324,CF4,293.5820954417323,9.0,LEDA,,,9.0,3.6522044342240023,-0.010763016831581797,0.9924721455654467,0.12277881092139326,0.7140272263874483,0.08534086359407178,0.09767079301606485,-18.261038595826378,64.46604409238458,70.06774419991169,19.114823706082674,15.018296896390087,13.152308170973086
106,NGC5398,PGC49923,210.34,-33.0637,12.13388850464978,1.0676506648731046,1.1706556751311332,CF4,1016.1780893951212,3.0,LEDA,,,3.0,3.6711255486448726,-0.010071778982601795,0.9899765164942669,0.14170584635559783,8.309128614628062,1.1354515447378635,1.2378922953225437,718.0238015181362,299.59559253632983,326.02247985225046,717.0812782999562,8.013751447756817,7.947582609975598
